state,county,asdr,fips,south,state_fips,county_fips,highover_2015,ttpop_2016,ecotype_2015,v133_rawvalue,v132_rawvalue,v004_rawvalue,v005_rawvalue,v023_rawvalue,v125_rawvalue,v137_rawvalue,v063_rawvalue,v053_rawvalue,PCT_NHBLACK10,PCT_HISP10,POVRATE10,POPLOSS00,DiagDiabetes_2016,Obesity_2016,asdr_201416,asdr_diabetes_201016,asdr_ischaemic_201016,DiagDiabetes_2016_cat,Obesity_2016_cat,totalCVD_201416_cat,hearddisease_201416_cat,asdr_201416_cat,asdr_diabetes_201016_cat,asdr_ischaemic_201016_cat,diab_obesity,diab_obesity_cvd,asdr_diab_isch,statex,countyx,date,cases,deaths,countycode,statecode,NObs,monthlydeaths_N,monthlydeaths_Sum,marchaprildeaths,dailydeaths,Population,countynum,annualdeaths2018,annualmortality2018,expecteddeaths,excessdeathscounty,covidmortalitycounty,caseratecounty,refzero,Countyhotspot,countystate,countyname,statename,_TYPE_,_FREQ_,_STAT_
,,97,46113,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,64,01001,87,1,001,52,68,20,30,52,37,87,33,94,71,77,19,81,39,21,41,48,49,68,46,45,30,73,71,50,76,29,28,,,39,1,0,50,60,72,01001,01,55,55,61,61,61,70,0,67,28,61,70,71,52,50,43,"AutaugaCou,Alabama",Autauga Cou,Alabama,,,
1,2,41,01003,87,1,003,69,88,94,63,58,76,27,36,71,76,74,66,72,59,31,41,31,34,32,12,57,30,23,71,,26,29,78,,,39,1,2,50,82,75,01003,01,55,55,89,89,89,90,0,91,43,89,50,55,54,50,43,"BaldwinCou,Alabama",Baldwin Cou,Alabama,,,
1,3,4,01005,87,1,005,4,47,67,4,28,33,51,82,92,59,3,55,96,63,91,41,90,95,67,31,2,80,73,71,50,76,29,28,50,50,39,1,3,50,60,56,01005,01,55,55,42,42,42,48,0,51,67,42,59,66,75,50,43,"BarbourCou,Alabama",Barbour Cou,Alabama,,,
1,5,5,01007,87,1,007,23,41,20,45,3,60,79,49,87,90,37,26,84,28,77,41,79,80,79,22,33,80,73,71,50,76,29,28,50,50,39,1,5,50,60,24,01007,01,55,55,38,38,38,45,0,47,65,38,21,24,77,50,43,"BibbCounty,Alabama",Bibb County,Alabama,,,
1,6,28,01009,87,1,009,16,69,20,84,5,12,35,38,94,98,47,45,41,74,52,41,87,53,77,4,44,80,73,71,50,76,29,28,50,50,39,1,7,50,59,24,01009,01,55,55,67,67,67,71,0,73,59,67,21,24,47,50,43,"BlountCoun,Alabama",Blount Coun,Alabama,,,
1,8,39,01011,87,1,011,0,18,67,1,6,19,89,64,87,88,1,25,99,72,97,41,99,77,87,98,48,80,73,71,50,76,79,28,50,50,39,1,8,50,39,24,01011,01,55,55,20,18,18,23,0,20,46,18,21,24,69,50,43,"BullockCou,Alabama",Bullock Cou,Alabama,,,
1,9,72,01013,87,1,013,13,37,20,14,22,20,95,76,77,52,9,62,95,7,95,41,93,97,87,95,45,80,73,71,50,76,79,28,50,50,39,1,10,50,68,56,01013,01,55,55,34,34,34,41,0,49,92,34,63,70,88,50,43,"ButlerCoun,Alabama",Butler Coun,Alabama,,,
1,11,69,01015,87,1,015,24,82,82,22,18,68,85,65,95,49,38,39,83,50,86,91,89,84,93,4,81,80,73,71,50,76,29,78,50,50,39,1,11,50,73,72,01015,01,55,55,86,86,86,82,0,87,83,86,50,59,55,50,43,"CalhounCou,Alabama",Calhoun Cou,Alabama,,,
1,12,48,01017,87,1,017,17,54,20,11,41,51,69,39,90,50,10,57,93,23,95,91,95,91,83,97,27,80,73,71,50,76,79,28,50,50,39,1,13,50,87,91,01017,01,55,55,49,49,49,57,0,60,67,49,97,97,97,50,93,"ChambersCo,Alabama",Chambers Co,Alabama,,,
