"popden","age65over","male","female","black","hispanic","minority","natives","groupquater","college","hhincome","poverty","nation","state","county","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4","diabetes","obesity","PCTUI","PCTIC","_013_Urbanization","_013_Urbanization_Code","County_Code","Population","Crude_Rate","countyname","countynum","countycode","statecode","annualdeaths2018","annualmortality2018","urbanrural","statename","deaths_allcause","date","cases","deaths","dailydeaths","mean7daydeaths","dailycases","mean7daycases","zero","covidmortality","caserate","covidmortality7day","caserate7day","casesfig","deathsfig","covidmortalityfig","caseratefig","covidmortality7dayfig","caserate7dayfig","refzero","cfr","hospTot","hospRate","tests","testingRate","positive","percentPositive","below.10..positive","negative","recovered"
96.05149,16.112714505,48.426597433,51.573402567,26.430042675,4.1759375745,34.286941793,0.5257488673,2.4420722432,15.619683644,67243.270731,17.489743174,,1,,,,,,14.407462687,37.541791045,11.9,88.1,"",,,4887871,1112,"",,,,,,"","Alabama",54352,"2020-07-08",46962,1058,25,12.285714286,1177,1142.8571429,0,21.645415765,960.78640373,0.2513510337,23.381491509,46962,1058,21.645415765,960.78640373,0.2513510337,23.381491509,0,0.0225288531,3006,6.40091989267919,468292,9550.77159030304,46962,10.03,"No",421330,22082
92.85992,14.583333333,48.684782609,51.315217391,18.976449275,2.768115942,24.97826087,0.2880434783,0.9891304348,15.882796104,75514.67677,15.378435132,,1,1,0.3631,0.581,0.5947,0.3741,9.9,33.2,10,90,"Medium Metro",3,1001,55601,964,"Autauga County, AL",1001,1001,1,536,964,"3MediumMetro","",536,"2020-07-08",651,13,0,0.1428571429,7,14,0,23.380874445,1170.842251,0.2569326862,25.179403248,651,13,23.380874445,1170.842251,0.2569326862,25.179403248,0,0.019969278,-1,-1,-1,-1,-1,-1,,-1,-1
130.9019,19.540428722,48.623064097,51.376935903,9.3841149024,4.4943226321,16.981168341,0.7313545436,1.448293426,20.702909742,77212.034799,10.566098502,,1,3,0.2232,0.199,0.4358,0.3359,8.5,31.1,13.2,86.8,"Small Metro",4,1003,218022,1081.1,"Baldwin County, AL",1003,1003,1,2357,1081.1,"4SmallMetro","",2357,"2020-07-08",1056,10,0,0,59,50.428571429,0,4.586693086,484.35478988,0,23.130037991,1056,10,4.586693086,484.35478988,-1,23.130037991,0,0.009469697,-1,-1,-1,-1,-1,-1,,-1,-1
29.13214,17.973780157,53.126212086,46.873787914,47.315956869,4.2898145993,53.851524319,0.2792646032,11.248157629,7.7972816816,47909.48182,28.863318166,,1,5,0.978,0.9153,0.8558,0.9889,15.7,41.7,13.5,86.5,"NonCore (Nonmetro)",6,1005,24881,1254,"Barbour County, AL",1005,1005,1,312,1254,"6NonCore(Nonmetro)","",312,"2020-07-08",366,2,0,0.1428571429,6,5.7142857143,0,8.0382621277,1471.0019694,0.5741615806,22.966463222,366,2,8.0382621277,1471.0019694,0.5741615806,22.966463222,0,0.0054644809,-1,-1,-1,-1,-1,-1,,-1,-1
36.1902,16.25160918,53.944155902,46.055844098,22.080170462,2.4281972744,25.418386825,0.03551294,9.2821946997,7.5855513308,58529.078947,13.987688098,,1,7,0.7694,0.1203,0.4323,0.7189,13.3,37.7,10.6,89.4,"Large Fringe Metro",2,1007,22400,1232.1,"Bibb County, AL",1007,1007,1,276,1232.1,"2LargeFringeMetro","",276,"2020-07-08",201,1,0,0,2,3.8571428571,0,4.4642857143,897.32142857,0,17.219387755,201,1,4.4642857143,897.32142857,-1,17.219387755,0,0.0049751244,-1,-1,-1,-1,-1,-1,,-1,-1
89.39555,17.75175644,49.326047359,50.673952641,1.4224997832,9.126550438,12.859744991,0.2446005725,0.9419724174,8.1182022358,60646.475728,14.400336358,,1,9,0.6143,0.3187,0.5915,0.1741,14.9,33.7,14.1,85.9,"Large Fringe Metro",2,1009,57840,1191.2,"Blount County, AL",1009,1009,1,689,1191.2,"2LargeFringeMetro","",689,"2020-07-08",262,1,0,0,7,6.2857142857,0,1.7289073306,452.97372061,0,10.867417506,262,1,1.7289073306,452.97372061,-1,10.867417506,0,0.0038167939,-1,-1,-1,-1,-1,-1,,-1,-1
16.62156,15.610510046,54.704404946,45.295595054,76.246136012,0.4926584235,78.477588872,1.1785162287,4.1537867079,7.4042792793,45515.76614,31.385609042,,1,11,0.9771,0.4438,0.6749,0.765,22.4,37.1,11.9,88.1,"NonCore (Nonmetro)",6,1011,10138,1104.8,"Bullock County, AL",1011,1011,1,112,1104.8,"6NonCore(Nonmetro)","",112,"2020-07-08",374,11,0,0.1428571429,1,1.1428571429,0,108.50266325,3689.0905504,1.4091254967,11.273003974,374,11,108.50266325,3689.0905504,1.4091254967,11.273003974,0,0.0294117647,-1,-1,-1,-1,-1,-1,,-1,-1
25.77756,19.006242197,46.781523096,53.218476904,45.078651685,0.3345817728,48.144818976,0.0099875156,1.6079900125,9.6774193548,52629.934407,23.544933272,,1,13,0.8455,0.9077,0.6447,0.6259,16.9,43.9,11.9,88.1,"NonCore (Nonmetro)",6,1013,19680,1504.1,"Butler County, AL",1013,1013,1,296,1504.1,"6NonCore(Nonmetro)","",296,"2020-07-08",639,28,0,0.1428571429,5,4.8571428571,0,142.27642276,3246.9512195,0.7259001161,24.680603949,639,28,142.27642276,3246.9512195,0.7259001161,24.680603949,0,0.0438184664,-1,-1,-1,-1,-1,-1,,-1,-1
189.9722,16.843038107,48.059045335,51.940954665,20.519904777,3.6516707501,27.520026412,0.3066951641,2.7037828633,10.185126682,61653.247618,18.59154678,,1,15,0.7866,0.8303,0.6507,0.6492,15.6,38.5,11.1,88.9,"Small Metro",4,1015,114277,1391.4,"Calhoun County, AL",1015,1015,1,1590,1391.4,"4SmallMetro","",1590,"2020-07-08",411,5,0,0,16,19,0,4.3753336192,359.6524235,0,16.626267753,411,5,4.3753336192,359.6524235,-1,16.626267753,0,0.0121654501,-1,-1,-1,-1,-1,-1,,-1,-1
56.70167,18.946963874,48.060663395,51.939336605,39.375036954,2.2704428546,44.208596937,0.2867616626,1.5136285697,9.3362756748,53553.240604,16.622588207,,1,17,0.6901,0.6609,0.4597,0.7943,17.5,40.2,11.6,88.4,"Micropolitan (Nonmetro)",5,1017,33615,1249.4,"Chambers County, AL",1017,1017,1,420,1249.4,"5Micropolitan(Nonmetro)","",420,"2020-07-08",660,27,0,0,4,9.2857142857,0,80.321285141,1963.4091923,0,27.623722403,660,27,80.321285141,1963.4091923,-1,27.623722403,0,0.0409090909,-1,-1,-1,-1,-1,-1,,-1,-1
