"date","nation","county","state","statename","race","cases","deaths","racePopulation","caserate","deathrate","populationTot","percentPop","Show"
2020-07-12,"","",1,"Alabama","All Races Combined",53587,1121,4864680,1101.55,23.04,4864680,100,"Yes"
2020-07-12,"","",1,"Alabama","African American",17650,479,1285737,1372.75,37.25,4864680,26.43,"Yes"
2020-07-12,"","",1,"Alabama","White",18094,543,3196730,566.02,16.99,4864680,65.71,"Yes"
2020-07-12,"","",1,"Alabama","American Natives",,,23243,,,4864680,0.48,"No"
2020-07-12,"","",1,"Alabama","Other Race",3063,19,7503,40823.67,253.23,4864680,0.15,"No"
2020-07-12,"","",1,"Alabama","Hispanic",4846,34,203146,2385.48,16.74,4864680,4.18,"Yes"
2020-07-12,"","",2,"Alaska","All Races Combined",1479,17,738516,200.27,2.3,738516,100,"Yes"
2020-07-12,"","",2,"Alaska","African American",35,0,22817,153.39,0,738516,3.09,"Yes"
2020-07-12,"","",2,"Alaska","White",633,11,450754,140.43,2.44,738516,61.04,"Yes"
2020-07-12,"","",2,"Alaska","American Natives",177,3,103506,171,2.9,738516,14.02,"Yes"
2020-07-12,"","",2,"Alaska","Other Race",30,0,1459,2056.2,0,738516,0.2,"No"
2020-07-12,"","",2,"Alaska","Hispanic",87,0,51186,169.97,0,738516,6.93,"Yes"
2020-07-12,"","",4,"Arizona","All Races Combined",122467,2237,6946685,1762.96,32.2,6946685,100,"Yes"
2020-07-12,"","",4,"Arizona","African American",2709,64,286614,945.17,22.33,6946685,4.13,"Yes"
2020-07-12,"","",4,"Arizona","White",19895,907,3825886,520.01,23.71,6946685,55.07,"Yes"
2020-07-12,"","",4,"Arizona","American Natives",7783,344,271946,2861.97,126.5,6946685,3.91,"Yes"
2020-07-12,"","",4,"Arizona","Other Race",2342,42,9177,25520.32,457.67,6946685,0.13,"No"
2020-07-12,"","",4,"Arizona","Hispanic",28514,540,2163312,1318.07,24.96,6946685,31.14,"Yes"
2020-07-12,"","",5,"Arkansas","All Races Combined",28367,321,2990671,948.52,10.73,2990671,100,"Yes"
2020-07-12,"","",5,"Arkansas","African American",6042,78,458536,1317.67,17.01,2990671,15.33,"Yes"
2020-07-12,"","",5,"Arkansas","White",13542,171,2173849,622.95,7.87,2990671,72.69,"Yes"
2020-07-12,"","",5,"Arkansas","American Natives",74,0,17342,426.71,0,2990671,0.58,"No"
2020-07-12,"","",5,"Arkansas","Other Race",4040,20,4641,87050.2,430.94,2990671,0.16,"No"
