"date","demographicVar","demographic","demogLabel","popUS","demogPop","percentPop","cases","totalcases","percentCases","availableCases","missingCases","caserate","deaths","totaldeaths","percentDeaths","availableDeaths","missingDeaths","deathrate"
2021-01-12,"Race","Hispanic","Hispanic",327167434,60572237,18.45,1719092,15869115,21.1,-9999,-9999,2838.09,26476,257685,13.3,-9999,-9999,43.71
2021-01-12,"Race","Non-Hispanic American Natives","American Natives",327167434,2434908,0.74,106514,15869115,1.3,-9999,-9999,4374.46,1913,257685,1,-9999,-9999,78.57
2021-01-12,"Race","Non-Hispanic Asian","Asian",327167434,18905879,5.76,285869,15869115,3.5,-9999,-9999,1512.06,8576,257685,4.3,-9999,-9999,45.36
2021-01-12,"Race","Non-Hispanic African American","African American",327167434,41147488,12.54,1018891,15869115,12.5,-9999,-9999,2476.19,32800,257685,16.4,-9999,-9999,79.71
2021-01-12,"Race","Non-Hispanic NHPI","NHPI",327167434,595908,0.18,30851,15869115,0.4,-9999,-9999,5177.14,443,257685,0.2,-9999,-9999,74.34
2021-01-12,"Race","Non-Hispanic White","White",327167434,197309822,60.11,4513559,15869115,55.4,-9999,-9999,2287.55,121353,257685,60.8,-9999,-9999,61.5
2021-01-12,"Race","Unknown Race","Unknown Race",-9999,-9999,-9999,7726291,15869115,-9999,51,49,-9999,58065,257685,-9999,77,23,-9999
2021-01-12,"Age","0 - 4 Years","0 - 4",327167434,19767670,6.04,293144,15869115,1.9,-9999,-9999,1482.95,65,257685,0,-9999,-9999,0.33
2021-01-12,"Age","5 - 17 Years","5 - 17",327167434,53661722,16.4,1402466,15869115,8.9,-9999,-9999,2613.53,157,257685,0.1,-9999,-9999,0.29
2021-01-12,"Age","18 - 29 Years","18 - 29",327167434,53715647,16.42,3594108,15869115,22.8,-9999,-9999,6690.99,1328,257685,0.5,-9999,-9999,2.47
2021-01-12,"Age","30 - 39 Years","30 - 39",327167434,43032400,13.15,2607866,15869115,16.5,-9999,-9999,6060.24,3086,257685,1.2,-9999,-9999,7.17
2021-01-12,"Age","40 - 49 Years","40 - 49",327167434,40635296,12.42,2381525,15869115,15.1,-9999,-9999,5860.73,7358,257685,2.9,-9999,-9999,18.11
2021-01-12,"Age","50 - 64 Years","50 - 64",327167434,63101264,19.29,3239693,15869115,20.5,-9999,-9999,5134.12,37059,257685,14.4,-9999,-9999,58.73
2021-01-12,"Age","65 - 74 Years","65 - 74",327167434,29542266,9.03,1215445,15869115,7.7,-9999,-9999,4114.26,53675,257685,20.8,-9999,-9999,181.69
2021-01-12,"Age","75 - 84 Years","75 - 84",327167434,14972513,4.58,646696,15869115,4.1,-9999,-9999,4319.22,70497,257685,27.4,-9999,-9999,470.84
2021-01-12,"Age","85+ Years","85+",327167434,6269017,1.92,398636,15869115,2.5,-9999,-9999,6358.83,84431,257685,32.8,-9999,-9999,1346.8
2021-01-12,"Age","Unknown Age","Unknown",327167434,-9999,-9999,89536,15869115,-9999,99,1,-9999,29,257685,-9999,99,1,-9999
