"Date","statename","FIPS","Census2019","Doses_Distributed","Doses_Administered","Dist_Per_100K","Admin_Per_100K","Administered_Dose1","Administered_Dose1_Per_100K","Administered_Dose2","Administered_Dose2_Per_100K","Administered_Moderna","Administered_Pfizer","Administered_Unk_Manuf","Population","percentVaccinatedDose1","Dist_Per_100K_new","percentVaccinatedDose2","Dist_new"
"2021-01-15","Alabama","1",4903185,444650,100567,9069,2051,86956,1773,13488,275,-1,-1,-1,4887871,1.78,9069,0.28,444650
"2021-01-19","Alabama","1",4903185,444650,130795,9069,2668,114319,2332,16346,333,-1,-1,-1,4887871,2.34,0,0.33,0
"2021-01-20","Alabama","1",4903185,483275,139200,9856,2839,121113,2470,17956,366,-1,-1,-1,4887871,2.48,787,0.37,38625
"2021-01-21","Alabama","1",4903185,493125,165919,10057,3384,144429,2946,21345,435,-1,-1,-1,4887871,2.95,201,0.44,9850
"2021-01-23","Alabama","1",4903185,521225,221540,10630,4518,193955,3956,27422,559,-1,-1,-1,4887871,3.97,573,0.56,28100
"2021-01-24","Alabama","1",4903185,521225,243737,10630,4971,213833,4361,29736,606,-1,-1,-1,4887871,4.37,0,0.61,0
"2021-01-15","Alaska","2",731545,150450,49039,20566,6703,39546,5406,9406,1286,-1,-1,-1,737438,5.36,20566,1.28,150450
"2021-01-19","Alaska","2",731545,150450,66331,20566,9067,55434,7578,10802,1477,-1,-1,-1,737438,7.52,0,1.46,0
"2021-01-20","Alaska","2",731545,150350,68293,20552,9335,56911,7780,11283,1542,-1,-1,-1,737438,7.72,0,1.53,0
"2021-01-21","Alaska","2",731545,154325,71907,21096,9829,59449,8126,12352,1688,-1,-1,-1,737438,8.06,544,1.67,3975
"2021-01-23","Alaska","2",731545,155700,88344,21284,12076,73014,9981,15206,2079,-1,-1,-1,737438,9.9,188,2.06,1375
"2021-01-24","Alaska","2",731545,155700,94257,21284,12885,77925,10652,16201,2215,-1,-1,-1,737438,10.57,0,2.2,0
"2021-01-15","Arizona","4",7278717,571725,197086,7855,2708,176213,2421,20837,286,-1,-1,-1,7171646,2.46,7855,0.29,571725
"2021-01-19","Arizona","4",7278717,571725,266276,7855,3658,235331,3233,30892,424,-1,-1,-1,7171646,3.28,0,0.43,0
"2021-01-20","Arizona","4",7278717,752250,281887,10335,3873,246960,3393,34788,478,-1,-1,-1,7171646,3.44,2480,0.49,180525
"2021-01-21","Arizona","4",7278717,797550,303899,10957,4175,262120,3601,41613,572,-1,-1,-1,7171646,3.65,622,0.58,45300
"2021-01-23","Arizona","4",7278717,829500,360958,11396,4959,305744,4201,55014,756,-1,-1,-1,7171646,4.26,439,0.77,31950
"2021-01-24","Arizona","4",7278717,829500,390623,11396,5367,332095,4563,58291,801,-1,-1,-1,7171646,4.63,0,0.81,0
"2021-01-15","Arkansas","5",3017804,297800,118338,9868,3921,97829,3242,18781,622,-1,-1,-1,3013825,3.25,9868,0.62,297800
"2021-01-19","Arkansas","5",3017804,297800,142337,9868,4717,118763,3935,21734,720,-1,-1,-1,3013825,3.94,0,0.72,0
"2021-01-20","Arkansas","5",3017804,334825,173312,11095,5743,144792,4798,26541,879,-1,-1,-1,3013825,4.8,1227,0.88,37025
"2021-01-21","Arkansas","5",3017804,361550,173312,11981,5743,144792,4798,26541,879,-1,-1,-1,3013825,4.8,886,0.88,26725
