popden,age65over,male,female,black,hispanic,minority,groupquater,college,hhincome,poverty,nation,state,county,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,diabetes,obesity,PCTUI,PCTIC,_013_Urbanization,_013_Urbanization_Code,County_Code,Population,Crude_Rate,countyname,countynum,countycode,statecode,annualdeaths2018,annualmortality2018,urbanrural,statename,deaths_allcause,date,cases,deaths,dailydeaths,mean7daydeaths,dailycases,mean7daycases,zero,hospitalTot,tests,testingRate,hospitalRate,covidmortality,caserate,covidmortality7day,caserate7day,casesfig,deathsfig,covidmortalityfig,caseratefig,covidmortality7dayfig,caserate7dayfig,refzero
96.05149,16.112714505,48.426597433,51.573402567,26.430042675,4.1759375745,34.286941793,2.4420722432,15.619683644,67243.270731,17.489743174,,1,,,,,,13.2,62,11.9,88.1,,,,4887871,1112,,,,,,,,Alabama,54352,2020-06-04,24601,773,4,12,891,651.14285714,0,1929,235299,4798.9011224,10.114303691,15.81465632,503.30706355,0.2455056608,13.321604788,24601,773,15.81465632,503.30706355,0.2455056608,13.321604788,0
92.85992,14.583333333,48.684782609,51.315217391,18.976449275,2.768115942,24.97826087,0.9891304348,15.882796104,75514.67677,15.378435132,,1,1,0.3631,0.581,0.5947,0.3741,9.9,33.2,10,90,Medium Metro,3,1001,55601,964,"Autauga County, AL",1001,01001,01,536,964,3MediumMetro,,536,2020-06-13,335,6,0,0.1428571429,8,10.714285714,0,,,,,10.791172821,602.50714915,0.2569326862,19.269951465,335,6,10.791172821,602.50714915,0.2569326862,19.269951465,0
130.9019,19.540428722,48.623064097,51.376935903,9.3841149024,4.4943226321,16.981168341,1.448293426,20.702909742,77212.034799,10.566098502,,1,3,0.2232,0.199,0.4358,0.3359,8.5,31.1,13.2,86.8,Small Metro,4,1003,218022,1081.1,"Baldwin County, AL",1003,01003,01,2357,1081.1,4SmallMetro,,2357,2020-06-13,376,9,0,0,8,8,0,,,,,4.1280237774,172.45966003,0,3.6693544688,376,9,4.1280237774,172.45966003,-1,3.6693544688,0
29.13214,17.973780157,53.126212086,46.873787914,47.315956869,4.2898145993,53.851524319,11.248157629,7.7972816816,47909.48182,28.863318166,,1,5,0.978,0.9153,0.8558,0.9889,15.7,41.7,13.5,86.5,NonCore (Nonmetro),6,1005,24881,1254,"Barbour County, AL",1005,01005,01,312,1254,6NonCore(Nonmetro),,312,2020-06-13,227,1,0,0,5,5.1428571429,0,,,,,4.0191310639,912.3427515,0,20.6698169,227,1,4.0191310639,912.3427515,-1,20.6698169,0
36.1902,16.25160918,53.944155902,46.055844098,22.080170462,2.4281972744,25.418386825,9.2821946997,7.5855513308,58529.078947,13.987688098,,1,7,0.7694,0.1203,0.4323,0.7189,13.3,37.7,10.6,89.4,Large Fringe Metro,2,1007,22400,1232.1,"Bibb County, AL",1007,01007,01,276,1232.1,2LargeFringeMetro,,276,2020-06-13,103,1,0,0,3,3.2857142857,0,,,,,4.4642857143,459.82142857,0,14.668367347,103,1,4.4642857143,459.82142857,-1,14.668367347,0
89.39555,17.75175644,49.326047359,50.673952641,1.4224997832,9.126550438,12.859744991,0.9419724174,8.1182022358,60646.475728,14.400336358,,1,9,0.6143,0.3187,0.5915,0.1741,14.9,33.7,14.1,85.9,Large Fringe Metro,2,1009,57840,1191.2,"Blount County, AL",1009,01009,01,689,1191.2,2LargeFringeMetro,,689,2020-06-13,104,1,0,0,7,4.5714285714,0,,,,,1.7289073306,179.80636238,0,7.9035763683,104,1,1.7289073306,179.80636238,-1,7.9035763683,0
16.62156,15.610510046,54.704404946,45.295595054,76.246136012,0.4926584235,78.477588872,4.1537867079,7.4042792793,45515.76614,31.385609042,,1,11,0.9771,0.4438,0.6749,0.765,22.4,37.1,11.9,88.1,NonCore (Nonmetro),6,1011,10138,1104.8,"Bullock County, AL",1011,01011,01,112,1104.8,6NonCore(Nonmetro),,112,2020-06-13,278,9,0,0.2857142857,18,7.4285714286,0,,,,,88.774906293,2742.1582166,2.8182509934,73.274525829,278,9,88.774906293,2742.1582166,2.8182509934,73.274525829,0
25.77756,19.006242197,46.781523096,53.218476904,45.078651685,0.3345817728,48.144818976,1.6079900125,9.6774193548,52629.934407,23.544933272,,1,13,0.8455,0.9077,0.6447,0.6259,16.9,43.9,11.9,88.1,NonCore (Nonmetro),6,1013,19680,1504.1,"Butler County, AL",1013,01013,01,296,1504.1,6NonCore(Nonmetro),,296,2020-06-13,520,25,0,0.4285714286,18,10.857142857,0,,,,,127.03252033,2642.2764228,2.1777003484,55.168408827,520,25,127.03252033,2642.2764228,2.1777003484,55.168408827,0
189.9722,16.843038107,48.059045335,51.940954665,20.519904777,3.6516707501,27.520026412,2.7037828633,10.185126682,61653.247618,18.59154678,,1,15,0.7866,0.8303,0.6507,0.6492,15.6,38.5,11.1,88.9,Small Metro,4,1015,114277,1391.4,"Calhoun County, AL",1015,01015,01,1590,1391.4,4SmallMetro,,1590,2020-06-13,198,3,0,0,2,2.2857142857,0,,,,,2.6252001715,173.26321132,0,2.0001525116,198,3,2.6252001715,173.26321132,-1,2.0001525116,0
56.70167,18.946963874,48.060663395,51.939336605,39.375036954,2.2704428546,44.208596937,1.5136285697,9.3362756748,53553.240604,16.622588207,,1,17,0.6901,0.6609,0.4597,0.7943,17.5,40.2,11.6,88.4,Micropolitan (Nonmetro),5,1017,33615,1249.4,"Chambers County, AL",1017,01017,01,420,1249.4,5Micropolitan(Nonmetro),,420,2020-06-13,452,26,0,0,11,9.5714285714,0,,,,,77.346422728,1344.6378105,0,28.473683092,452,26,77.346422728,1344.6378105,-1,28.473683092,0
46.7061,21.742157583,49.588055545,50.411944455,4.9007852087,1.5394731753,8.2118129424,1.0598383166,6.8173298345,55611.484066,15.007254617,,1,19,0.6879,0.4492,0.2751,0.2741,12.2,34.8,13.5,86.5,NonCore (Nonmetro),6,1019,26032,1336.8,"Cherokee County, AL",1019,01019,01,348,1336.8,6NonCore(Nonmetro),,348,2020-06-13,49,5,0,0.1428571429,1,1.1428571429,0,,,,,19.207129687,188.22987093,0.5487751339,4.3902010712,49,5,19.207129687,188.22987093,0.5487751339,4.3902010712,0
63.40464,15.768267699,49.33302982,50.66697018,9.360346005,7.7760072843,19.861142727,0.9173685409,9.1565132749,62771.213659,18.571428571,,1,21,0.7685,0.8513,0.6966,0.3636,16.8,38.1,16.3,83.7,Large Fringe Metro,2,1021,44153,1155.1,"Chilton County, AL",1021,01021,01,510,1155.1,2LargeFringeMetro,,510,2020-06-13,134,2,0,0,6,3,0,,,,,4.5297035309,303.49013657,0,6.7945552964,134,2,4.5297035309,303.49013657,-1,6.7945552964,0
14.31359,22.057361377,47.824091778,52.175908222,42.600382409,0.5583173996,43.632887189,1.3996175908,8.1602373887,52246.971963,22.244660194,,1,23,0.9057,0.9083,0.5896,0.5775,13.9,41.1,13.5,86.5,NonCore (Nonmetro),6,1023,12841,1487.4,"Choctaw County, AL",1023,01023,01,191,1487.4,6NonCore(Nonmetro),,191,2020-06-13,168,11,0,0.1428571429,1,1.7142857143,0,,,,,85.66311035,1308.3093217,1.1125079266,13.350095119,168,11,85.66311035,1308.3093217,1.1125079266,13.350095119,0
19.69202,18.969122893,47.316193054,52.683806946,45.815393447,0.1968261779,47.123467421,1.4925985156,7.9549496147,51891.568711,25.405833994,,1,25,0.9436,0.6167,0.4763,0.7345,20.1,34.2,12.6,87.4,NonCore (Nonmetro),6,1025,23920,1325.3,"Clarke County, AL",1025,01025,01,317,1325.3,6NonCore(Nonmetro),,317,2020-06-13,180,3,0,0.1428571429,4,4,0,,,,,12.54180602,752.5083612,0.5972288581,16.722408027,180,3,12.54180602,752.5083612,0.5972288581,16.722408027,0
