"date","nation","county","state","statename","race","cases","deaths","racePopulation","caserate","deathrate","populationTot","percentPop","Show"
2020-07-05,"","",1,"Alabama","All Races Combined",43953,1007,4864680,903.51,20.7,4864680,100,"Yes"
2020-07-05,"","",1,"Alabama","African American",15320,442,1285737,1191.53,34.38,4864680,26.43,"Yes"
2020-07-05,"","",1,"Alabama","White",14864,488,3196730,464.98,15.27,4864680,65.71,"Yes"
2020-07-05,"","",1,"Alabama","Other Race",2515,17,7503,33519.93,226.58,4864680,0.15,"No"
2020-07-05,"","",1,"Alabama","Hispanic",4175,31,203146,2055.17,15.26,4864680,4.18,"No"
2020-07-05,"","",2,"Alaska","All Races Combined",1138,16,738516,154.09,2.17,738516,100,"Yes"
2020-07-05,"","",2,"Alaska","African American",25,0,22817,109.57,0,738516,3.09,"No"
2020-07-05,"","",2,"Alaska","White",541,10,450754,120.02,2.22,738516,61.04,"Yes"
2020-07-05,"","",2,"Alaska","Other Race",22,0,1459,1507.88,0,738516,0.2,"No"
2020-07-05,"","",2,"Alaska","Hispanic",64,0,51186,125.03,0,738516,6.93,"No"
2020-07-05,"","",4,"Arizona","All Races Combined",98089,1809,6946685,1412.03,26.04,6946685,100,"Yes"
2020-07-05,"","",4,"Arizona","African American",2088,50,286614,728.51,17.45,6946685,4.13,"No"
2020-07-05,"","",4,"Arizona","White",15017,755,3825886,392.51,19.73,6946685,55.07,"Yes"
2020-07-05,"","",4,"Arizona","Other Race",1870,38,9177,20377.03,414.08,6946685,0.13,"No"
2020-07-05,"","",4,"Arizona","Hispanic",22563,396,2163312,1042.98,18.31,6946685,31.14,"Yes"
2020-07-05,"","",5,"Arkansas","All Races Combined",23814,287,2990671,796.28,9.6,2990671,100,"Yes"
2020-07-05,"","",5,"Arkansas","African American",5169,70,458536,1127.28,15.27,2990671,15.33,"Yes"
2020-07-05,"","",5,"Arkansas","White",11090,156,2173849,510.16,7.18,2990671,72.69,"Yes"
2020-07-05,"","",5,"Arkansas","Other Race",3347,19,4641,72118.08,409.39,2990671,0.16,"No"
2020-07-05,"","",5,"Arkansas","Hispanic",5816,22,219052,2655.08,10.04,2990671,7.32,"No"
2020-07-05,"","",6,"California","All Races Combined",260155,6331,39148760,664.53,16.17,39148760,100,"Yes"
2020-07-05,"","",6,"California","African American",7432,572,2164519,343.36,26.43,39148760,5.53,"No"
2020-07-05,"","",6,"California","White",29598,1971,14695836,201.4,13.41,39148760,37.54,"Yes"
2020-07-05,"","",6,"California","Other Race",25774,70,97763,26363.76,71.6,39148760,0.25,"No"
2020-07-05,"","",6,"California","Hispanic",95380,2588,15221577,626.61,17,39148760,38.88,"Yes"
2020-07-05,"","",8,"Colorado","All Races Combined",34065,1521,5531141,615.88,27.5,5531141,100,"Yes"
2020-07-05,"","",8,"Colorado","African American",1655,99,216732,763.62,45.68,5531141,3.92,"No"
2020-07-05,"","",8,"Colorado","White",10653,954,3778212,281.96,25.25,5531141,68.31,"Yes"
2020-07-05,"","",8,"Colorado","Other Race",255,6,10352,2463.29,57.96,5531141,0.19,"No"
2020-07-05,"","",8,"Colorado","Hispanic",11728,321,1184794,989.88,27.09,5531141,21.42,"Yes"
2020-07-05,"","",9,"Connecticut","All Races Combined",46717,4335,3581504,1304.4,121.04,3581504,100,"Yes"
2020-07-05,"","",9,"Connecticut","African American",6134,644,351817,1743.52,183.05,3581504,9.82,"No"
2020-07-05,"","",9,"Connecticut","White",16433,3176,2418696,679.42,131.31,3581504,67.53,"Yes"
2020-07-05,"","",9,"Connecticut","Other Race",264,16,11421,2311.53,140.09,3581504,0.32,"No"
2020-07-05,"","",9,"Connecticut","Hispanic",8857,374,561791,1576.56,66.57,3581504,15.69,"Yes"
2020-07-05,"","",10,"Delaware","All Races Combined",12128,512,949495,1277.31,53.92,949495,100,"Yes"
2020-07-05,"","",10,"Delaware","African American",3124,131,204665,1526.4,64.01,949495,21.56,"Yes"
2020-07-05,"","",10,"Delaware","White",3753,322,595623,630.1,54.06,949495,62.73,"Yes"
2020-07-05,"","",10,"Delaware","Other Race",607,6,1804,33647.45,332.59,949495,0.19,"No"
2020-07-05,"","",10,"Delaware","Hispanic",3306,31,86315,3830.16,35.91,949495,9.09,"No"
2020-07-05,"","",11,"District of Columbia","All Races Combined",10482,559,684498,1531.34,81.67,684498,100,"Yes"
2020-07-05,"","",11,"District of Columbia","African American",5213,412,315281,1653.45,130.68,684498,46.06,"Yes"
2020-07-05,"","",11,"District of Columbia","White",2156,60,248057,869.16,24.19,684498,36.24,"Yes"
2020-07-05,"","",11,"District of Columbia","Other Race",2687,0,2648,101472.81,0,684498,0.39,"No"
2020-07-05,"","",11,"District of Columbia","Hispanic",2989,74,74776,3997.27,98.96,684498,10.92,"Yes"
2020-07-05,"","",12,"Florida","All Races Combined",200111,3832,20598139,971.5,18.6,20598139,100,"Yes"
2020-07-05,"","",12,"Florida","African American",29060,752,3167011,917.58,23.74,20598139,15.38,"Yes"
