asdr,fips,south,state_fips,county_fips,highover_2015,ttpop_2016,ecotype_2015,v133_rawvalue,v132_rawvalue,v004_rawvalue,v005_rawvalue,v023_rawvalue,v125_rawvalue,v137_rawvalue,v063_rawvalue,v053_rawvalue,PCT_NHBLACK10,PCT_HISP10,POVRATE10,POPLOSS00,DiagDiabetes_2016,Obesity_2016,asdr_201416,asdr_diabetes_201016,asdr_ischaemic_201016,DiagDiabetes_2016_cat,Obesity_2016_cat,totalCVD_201416_cat,hearddisease_201416_cat,asdr_201416_cat,asdr_diabetes_201016_cat,asdr_ischaemic_201016_cat,diab_obesity,diab_obesity_cvd,asdr_diab_isch,statex,countyx,county,state,date,cases,deaths,countycode,statecode,NObs,monthlydeaths_N,monthlydeaths_Sum,marchaprildeaths,dailydeaths,Population,countynum,annualdeaths2018,annualmortality2018,expecteddeaths,excessdeathscounty,covidmortalitycounty,caseratecounty,refzero,Countyhotspot,countystate,countyname,statename
364,46113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,01001,1,1,001,87.2,55049,0,7.199999809,0.686775029,0.415042996,6.599,3.86352253,11.69999981,0.382999986,58.343,15.11963177,17.582599,2.400542,11.9,0,9.9,33.2,1333.6,35.2,162.5,0,1,1,1,1,0,0,,,0,1,1,1,1,4/14/20,23,1,01001,01,2,2,91,91,1.491803279,55601,1001,536,964,65.63934426,0.01500615,1.798528803,41.36616248,0,0,"AutaugaCou,Alabama",Autauga Cou,Alabama
193.6,01003,1,1,003,89.5,199510,5,8,0.71971029,0.728797019,3.833,3.988336325,10.30000019,0.405000001,56.607,19.94704247,9.308425,4.384824,13.3,0,8.5,31.1,1130.4,24,177,0,0,1,,0,0,1,,,0,1,3,3,1,4/14/20,87,2,01003,01,2,2,381,381,6.245901639,218022,1003,2357,1081.1,274.8196721,0.00722492,0.917338617,39.90422985,0,0,"BaldwinCou,Alabama",Baldwin Cou,Alabama
122,01005,1,1,005,73.3,26614,3,5.599999905,0.536256671,0.385133982,4.736,5.900922775,11.5,0.338,32.49,18.82469368,46.69119,5.051535,25.3,0,15.7,41.7,1323.8,30.5,89.2,1,1,1,1,1,0,0,1,1,0,1,5,5,1,4/14/20,11,0,01005,01,2,2,55,55,0.901639344,24881,1005,312,1254,39.67213115,0,0,44.2104417,0,0,"BarbourCou,Alabama",Barbour Cou,Alabama
126.4,01007,1,1,007,80.7,22572,0,7.599999905,0.162513644,0.574128985,5.998,4.385139942,11.19999981,0.486000001,45.795,16.02258682,21.924504,1.771765,20.9,0,13.3,37.7,1412.5,27.7,147.8,1,1,1,1,1,0,0,1,1,0,1,7,7,1,4/14/20,17,0,01007,01,2,2,49,49,0.803278689,22400,1007,276,1232.1,35.3442623,0,0,75.89285714,0,0,"BibbCounty,Alabama",Bibb County,Alabama
174.1,01009,1,1,009,78.5,57704,0,8.5,0.229493037,0.225287989,4.162,4.021393299,11.69999981,0.597000003,48.253,17.84255219,1.26304,8.0702,16.5,0,14.9,33.7,1395.1,19.9,161.1,1,1,1,1,1,0,0,1,1,0,1,9,9,1,4/14/20,16,0,01009,01,2,2,113,113,1.852459016,57840,1009,689,1191.2,81.50819672,0,0,27.66251729,0,0,"BlountCoun,Alabama",Blount Coun,Alabama
191.1,01011,1,1,011,64.9,10552,3,4.199999809,0.266904891,0.289519012,6.767,4.925187111,11.19999981,0.47299999,29.113,15.82112789,69.974345,7.119296,31.1,0,22.4,37.1,1477.5,91.2,166.1,1,1,1,1,1,1,0,1,1,0,1,11,11,1,4/14/20,8,0,01011,01,2,2,31,31,0.508196721,10138,1011,112,1104.8,22.36065574,0,0,78.91102782,0,0,"BullockCou,Alabama",Bullock Cou,Alabama
246,01013,1,1,013,77.8,20280,0,6.5,0.485797495,0.300029993,7.962,5.488486767,10.60000038,0.317999989,36.842,19.5561161,43.189956,0.911825,28.1,0,16.9,43.9,1485.4,73.5,162.2,1,1,1,1,1,1,0,1,1,0,1,13,13,1,4/14/20,8,0,01013,01,2,2,44,44,0.721311475,19680,1013,296,1504.1,31.73770492,0,0,40.6504065,0,0,"ButlerCoun,Alabama",Butler Coun,Alabama
239,01015,1,1,015,80.9,115883,4,6.900000095,0.447137594,0.64566201,6.45,4.933965206,11.80000019,0.305999994,45.937,17.31225014,20.390143,3.283237,23.5,1,15.6,38.5,1560.7,19.6,220.2,1,1,1,1,1,0,1,1,1,0,1,15,15,1,4/14/20,62,0,01015,01,2,2,283,283,4.639344262,114277,1015,1590,1391.4,204.1311475,0,0,54.25413688,0,0,"CalhounCou,Alabama",Calhoun Cou,Alabama
203.4,01017,1,1,017,78.9,34018,0,6.300000191,0.618646801,0.502319992,5.511,4.078808784,11.39999962,0.308999985,36.883,19.07869339,38.597107,1.566564,28.5,1,17.5,40.2,1446.3,81.6,140.1,1,1,1,1,1,1,0,1,1,0,1,17,17,1,4/14/20,216,10,01017,01,2,2,65,65,1.06557377,33615,1017,420,1249.4,46.8852459,0.175792507,29.74862413,642.5702811,0,0,"ChambersCo,Alabama",Chambers Co,Alabama
203.2,01019,1,1,019,79.5,25897,0,8.5,0.334295273,0.349853992,6.577,4.05405426,11.39999962,0.433999985,44.842,22.61669922,4.640425,1.23129,21.2,0,12.2,34.8,1499.2,29.2,179.8,1,1,1,1,1,0,1,1,1,0,1,19,19,1,4/14/20,9,0,01019,01,2,2,57,57,0.93442623,26032,1019,348,1336.8,41.1147541,0,0,34.57283344,0,0,"CherokeeCo,Alabama",Cherokee Co,Alabama
202.7,01021,1,1,021,78.4,43817,0,8.100000381,0.472424001,0.182062,3.791,4.048540592,11.19999981,0.492000014,46.405,16.35918045,9.557088,7.836308,20.4,0,16.8,38.1,1448.5,16,205,1,1,1,1,1,0,1,1,1,0,1,21,21,1,4/14/20,33,0,01021,01,2,2,102,102,1.672131148,44153,1021,510,1155.1,73.57377049,0,0,74.74010826,0,0,"ChiltonCou,Alabama",Chilton Cou,Alabama
